"code_banque";"libelle_banque"
31351;"BNA HEDI NOUIRA"
700000;"BCT     BCT TUNIS"
700024;"BCT     CAISSE B.C.T TUNIS"
700025;"BCT     B.C.T BIZERTE"
700026;"BCT     B.C.T GABES"
700027;"BCT     B.C.T NABEUL"
700028;"BCT     B.C.T SFAX"
700029;"BCT     B.C.T SOUSSE"
700030;"BCT     BCT GAFSA"
700031;"BCT     BCT KASSERINE"
700032;"BCT     BCT KAIROUAN"
700033;"BCT     BCT MEDNINE"
700034;"BCT     BCT JENDOUBA"
700035;"BCT     BCT MONASTIR"
700038;"BCT     COMPTOIR DE TUNIS"
700039;"BCT     CTUNIS PERIPHERIE"
700999;"BCT     SERVICE CENTRAL"
701000;"ATB     RUE AL DJAZIRA"
701001;"ATB     RUE DE LA MONNAIE"
701002;"ATB     INTERNATIONALE"
701004;"ATB     HOTEL EL MECHTEL"
701005;"ATB     MARSA"
701006;"ATB     BEJA"
701007;"ATB     HAMMAMET"
701008;"ATB     EL MENZAH VI"
701100;"ATB     MEGRINE"
701101;"ATB     BIZERTE"
701102;"ATB     METLINE"
701103;"ATB     ZARZIS"
701104;"ATB     TABARKA"
701105;"ATB     KHEIREDDINE PACHA"
701106;"ATB     EL MANAR"
701200;"ATB     BIZERTE"
701201;"ATB     LE KRAM"
701202;"ATB     JENDOUBA"
701300;"ATB     NABEUL"
701301;"ATB     HAMMAMET"
701302;"ATB     CHORBENE"
701303;"ATB     SOUSSE KHEZAMA"
701304;"ATB     ARIANA ENNOZHA"
701305;"ATB     SFAX GREMDA"
701500;"ATB     SOUSSE"
701501;"ATB     MONASTIR"
701700;"ATB     SFAX"
701701;"ATB     SFAX (BP)"
701705;"ATB     GABES"
701800;"ATB     KAIROUAN"
701900;"ATB     JERBA HOUMET SOUK"
701901;"ATB     ESSAIDIA"
701902;"ATB     LES BERGES DU LAC"
701903;"ATB     MONTPLAISIR"
701904;"ATB     GAMMARTH"
701905;"ATB     MUTUELLE VILLE"
701906;"ATB     MENZAHV"
701999;"ATB     SERVICE CENTRAL"
702000;"BFT     RUE D ALGER"
702001;"BFT     RUE DE LA MONNAIE"
702002;"BFT     MARCHE DE GROS"
702003;"BFT     ARIANA"
702004;"BFT     BAB JEDID"
702005;"BFT     XXXXX"
702006;"BFT     SFAX CENTER"
702007;"BFT     MONTPLAISIR"
702999;"BFT     SERVICE CENTRAL"
703000;"BNA     AV.PARIS TUNIS"
703001;"BNA     A.CARTHAGE AGENCE B"
703002;"BNA     R.AL JAZIRA AGENCE A"
703003;"BNA     LA GOULETTE"
703004;"BNA     PONT DU FAHS"
703005;"BNA     RAS-DJEBEL"
703006;"BNA     AV H BOURGUIBA"
703007;"BNA     AV.LONDRES TUNIS"
703008;"BNA     INTER TUNISIA"
703009;"BNA     RADES +"
703010;"BNA     ZARZOUNA"
703100;"BNA     TUNIS PORT"
703101;"BNA     LAFAYETTE"
703102;"BNA     TEBOURBA"
703103;"BNA     BEN-AROUS"
703104;"BNA     ZAGHOUAN"
703105;"BNA     MORNAG"
703106;"BNA     MORNAGUIA"
703107;"BNA     B.KASSAA MARCHE GROS"
703108;"BNA     NORD HILTON"
703109;"BNA     SEJNENE"
703110;"BNA     KELIBIA PORT +"
703111;"BNA     EL ALIA"
703112;"BNA     BOUARGOUB"
703113;"BNA     REGUEB"
