"rs_frs";"type_transaction";"num_dossier";"code_douane";"code_frs";"num_repertoire";"date_depot";"nbre_total_art";"type_transaction";"val_nette";"emballage";"mise_a_fob";"fret";"autre_frais";"nom_signat_declarant";"date_signat_declarant";"code_pays_provenance";"lib_pays_provenance";"code_pays_achat";"lib_pays_achat";"code_pays_premier_destination";"lib_pays__premier_destination";"code_pays_destination_defi";"lib_pays__destination_defi";"code_devise_ptfn";"code_incoterme";"desig_incoterme";"ptfn";"fob_mont_devise";"code_nat_autoris";"lib_nat_autoris"
"ALJAWDA AFRICAN JOINT CO ";2;667;"1283193D";"13";50987;"2024-02-28 00:00:00";1;2;14500;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-08-16 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"LY";"LIBYE";"LY";"LIBYE";"EUR";"EXW";"DEPART USINE";16585;15500;"22";"Facture Definitive a l'Export : (FDE)"
"ALJAWDA AFRICAN JOINT CO ";2;664;"1283193D";"13";100;"2024-08-15 00:00:00";1;2;16585;0;0;0;0;"NAJEH BEN KRAIEM";"2024-08-15 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"LY";"LIBYE";"LY";"LIBYE";"EUR";"EXW";"DEPART USINE";16585;17500;"";""
"MAS INTERNATIONAL ";2;665;"1283193D";"30";50985;"2023-12-12 00:00:00";3;2;164811.8;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-08-15 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"SN";"SENEGAL";"SN";"SENEGAL";"EUR";"FOB";"F.O.B";3648;164811.8;"22";"Facture Definitive a l'Export : (FDE)"
"MAS INTERNATIONAL ";2;666;"1283193D";"30";50986;"2023-12-12 00:00:00";1;2;164811.8;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-08-15 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"SN";"SENEGAL";"SN";"SENEGAL";"EUR";"FOB";"F.O.B";3648;164811.8;"22";"Facture Definitive a l'Export : (FDE)"
"MAS INTERNATIONAL SEN ASS JANA";2;661;"1283193D";"66";100;"2024-08-14 00:00:00";1;2;1000;0;0;0;0;"NAJEH BEN KRAIEM";"2024-08-14 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"SN";"SENEGAL";"SN";"SENEGAL";"EUR";"FOB";"F.O.B";1000;1000;"";""
"MAS INTERNATIONAL ";2;662;"1283193D";"30";50984;"2023-12-12 00:00:00";3;2;164811.8;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-08-14 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"SN";"SENEGAL";"SN";"SENEGAL";"EUR";"FOB";"F.O.B";1000;164811.8;"22";"Facture Definitive a l'Export : (FDE)"
"MAS INTERNATIONAL SEN ASS JANA";2;663;"1283193D";"66";100;"2024-08-14 00:00:00";1;2;3648;0;0;0;0;"NAJEH BEN KRAIEM";"2024-08-14 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"SN";"SENEGAL";"SN";"SENEGAL";"EUR";"FOB";"F.O.B";3648;3648;"";""
"MAS INTERNATIONAL SEN ASS JANA";2;660;"1283193D";"66";100;"2024-08-14 00:00:00";1;2;1000;0;0;0;0;"NAJEH BEN KRAIEM";"2024-08-14 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"SN";"SENEGAL";"SN";"SENEGAL";"EUR";"FOB";"F O B";1000;1000;"";""
"MAS INTERNATIONAL SEN ASS JANA";2;659;"1283193D";"66";100;"2024-08-14 00:00:00";1;2;1000;0;0;0;0;"NAJEH BEN KRAIEM";"2024-08-14 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"SN";"SENEGAL";"SN";"SENEGAL";"EUR";"FOB";"F.O.B";1000;1000;"";""
"KAYE ALUMINIUM ";1;656;"1283193D";"65";100;"2024-08-13 00:00:00";1;1;56163.08;0;0;0;0;"NAJEH BEN KRAIEM";"2024-08-13 00:00:00";"MA";"MAROC";"MA";"MAROC";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";56163.08;54000;"";""
"KAYE ALUMINIUM ";1;657;"1283193D";"65";100;"2024-08-13 00:00:00";1;1;67763.49;0;0;0;0;"NAJEH BEN KRAIEM";"2024-08-13 00:00:00";"MA";"MAROC";"MA";"MAROC";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";67763.49;65500;"";""
"MAS INTERNATIONAL SEN ASS JANA";2;658;"1283193D";"66";100;"2024-08-13 00:00:00";1;2;1000;0;0;0;0;"NAJEH BEN KRAIEM";"2024-08-13 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"SN";"SENEGAL";"SN";"SENEGAL";"EUR";"FOB";"F.O.B";1000;1000;"";""
"ALJAWDA AFRICAN JOINT CO ";2;651;"1283193D";"13";50983;"2024-02-28 00:00:00";1;2;14500;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-08-12 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"LY";"LIBYE";"LY";"LIBYE";"EUR";"EXW";"DEPART USINE";44185;15500;"22";"Facture Definitive a l'Export : (FDE)"
"MONTICELLI";1;652;"1283193D";"63";2000;"2024-08-08 00:00:00";1;1;916.5;0;0;0;0;"MOHAMED HEDI AMOUS";"2024-08-12 00:00:00";"IT";"ITALIE";"IT";"ITALIE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"EXW";"DEPART USINE";916.5;960;"39";"Admission Temporaire : (AT)"
"ALDES GROUP";1;655;"1283193D";"64";100;"2024-08-12 00:00:00";1;1;18762;0;0;0;0;"NAJEH BEN KRAIEM";"2024-08-12 00:00:00";"FR";"FRANCE";"FR";"FRANCE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"EXW";"DEPART USINE";18762;19300;"";""
"TRICON DRY CHEMICALS";1;653;"1222506N";"44";2004;"2024-01-23 00:00:00";1;1;75990;0;0;0;0;"BAYRAM KAMOUN";"2024-08-12 00:00:00";"CN";"CHINE";"US";"U.S.A";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";81855;74500;"39";"Admission Temporaire : (AT)"
"TRICON DRY CHEMICALS";1;654;"1222506N";"44";2005;"2024-01-23 00:00:00";1;1;75990;0;0;0;0;"BAYRAM KAMOUN";"2024-08-12 00:00:00";"CN";"CHINE";"US";"U.S.A";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";81855;74500;"39";"Admission Temporaire : (AT)"
"TRICON DRY CHEMICALS";1;645;"1222506N";"44";2000;"2024-01-23 00:00:00";1;1;75990;0;0;0;0;"BAYRAM KAMOUN";"2024-08-09 00:00:00";"CN";"CHINE";"US";"U.S.A";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";81855;74500;"39";"Admission Temporaire : (AT)"
"MSC";1;648;"1222506N";"43";2002;"2024-01-20 00:00:00";1;1;10000;0;0;0;0;"BAYRAM KAMOUN";"2024-08-09 00:00:00";"CN";"CHINE";"CN";"CHINE";"TN";"TUNISIE";"TN";"TUNISIE";"TND";"CFR";"C.F.";10000;9500;"39";"Admission Temporaire : (AT)"
"MSC";1;649;"1222506N";"43";2003;"2024-01-20 00:00:00";1;1;10000;0;0;0;0;"BAYRAM KAMOUN";"2024-08-09 00:00:00";"CN";"CHINE";"CN";"CHINE";"TN";"TUNISIE";"TN";"TUNISIE";"TND";"CFR";"C.F.";10000;9500;"39";"Admission Temporaire : (AT)"
"ALJAWDA AFRICAN JOINT CO ";2;650;"1283193D";"13";100;"2024-08-09 00:00:00";1;2;44185;0;0;0;0;"NAJEH BEN KRAIEM";"2024-08-09 00:00:00";"TN";"TUNISIE";"TN";"TUNISIE";"LY";"LIBYE";"LY";"LIBYE";"EUR";"EXW";"DEPART USINE";44185;45000;"";""
"TRICON DRY CHEMICALS";1;647;"1222506N";"44";2001;"2024-01-23 00:00:00";1;1;75990;0;0;0;0;"BAYRAM KAMOUN";"2024-08-09 00:00:00";"CN";"CHINE";"US";"U.S.A";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";81855;74500;"39";"Admission Temporaire : (AT)"
"TRICON DRY CHEMICALS";1;646;"1222506N";"44";2000;"2024-01-23 00:00:00";1;1;75990;0;0;0;0;"BAYRAM KAMOUN";"2024-08-09 00:00:00";"CN";"CHINE";"US";"U.S.A";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";81855;74500;"39";"Admission Temporaire : (AT)"
"MOTICELLI";1;641;"1283193D";"62";100;"2024-08-08 00:00:00";1;1;916.5;0;0;0;0;"NAJEH BEN KRAIEM";"2024-08-08 00:00:00";"IT";"ITALIE";"IT";"ITALIE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"EXW";"DEPART USINE";916.5;950;"";""
"TRICON DRY CHEMICALS";1;638;"1222506N";"44";100;"2024-08-08 00:00:00";1;1;81855;0;0;0;0;"NAJEH BEN KRAIEM";"2024-08-08 00:00:00";"CN";"CHINE";"CN";"CHINE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";81855;80500;"";""
"TRICON DRY CHEMICALS";1;639;"1222506N";"44";100;"2024-08-08 00:00:00";1;1;81855;0;0;0;0;"NAJEH BEN KRAIEM";"2024-08-08 00:00:00";"CN";"CHINE";"CN";"CHINE";"TN";"TUNISIE";"TN";"TUNISIE";"EUR";"CFR";"C.F.";81855;80500;"";""
