"id_doc";"num_enreg_ddm";"date_enreg_ddm";"cours_convers_dev_fact";"vaeurl_douane_tot_dinars";"code_statut_ddm";"etat_ddm_1";"etat_ddm_2";"etat_ddm_3";"message_inspecteur_1";"message_inspecteur_2";"nom_inspect_affect";"date_affect_inspect";"code_devise_montant_devise";"ptfn_montant_devise";"total_taxe_articles";"total_taxe_liqui_recap";"code_taxe_consig_penalite";"montant_consig_penalite";"code_taxe_consig_garantie";"montant_consig_garantie";"totaux_taxe_a_payer";"num_liquid_part_res_dou";"num_recette_part_res_dou";"num_cons_penl_part_res_dou";"observations_decision";"observations_reserve";"observations_rdv_visite";"observations_date_decision";"observations_mnt_penalites";"heure_minute_affectation"
"D61DDM1W";"";"";"3.3983000";"134140.158";"Devis Drts et Txs";"";"";"";"";"";"";"";"EUR";"38832.760";"19.000";"";"";"0.000";"";"";"19.000";"";"";"";"";"";"";"";"";""
"D62DDM1W";"";"";"3.3983000";"134140.158";"Devis Drts et Txs";"";"";"";"";"";"";"";"EUR";"38832.760";"19.000";"";"";"0.000";"";"";"19.000";"";"";"";"";"";"";"";"";""
"D381DDM1W";"";"";"3.3730500";"1270.855";"Devis Drts et Txs";"";"";"";"";"";"";"";"EUR";"283.890";"285.584";"";"";"0.000";"";"";"285.584";"";"";"";"";"";"";"";"";""
"D295DDM1W";"676904";"2024-03-25 00:00:00";"3.3795500";"16317.742";"";"";"";"";"";"";"COULOIR VERT";"2024-03-28 00:00:00";"EUR";"4673.000";"29.000";"";"";"0.000";"";"";"29.000";"";"";"";"";"";"";"";"";"135"
"D63DDM1W";"674792";"2023-11-28 00:00:00";"3.3983000";"134140.158";"";"";"";"";"";"";"COULOIR VERT";"2023-11-29 00:00:00";"EUR";"38832.760";"19.000";"";"";"0.000";"";"";"19.000";"";"";"";"";"";"";"";"";"110"
"D6DDM1W";"538222";"2023-10-26 00:00:00";"3.3624500";"244826.037";"";"";"";"";"";"";"COULOIR VERT";"2023-10-26 00:00:00";"EUR";"72811.800";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"113"
"D7DDM1W";"473447";"2023-10-26 00:00:00";"3.3624500";"47414.580";"";"";"";"";"";"";"COULOIR VERT";"2023-10-26 00:00:00";"EUR";"14101.200";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"113"
"D112DDM1W";"474778";"2023-12-21 00:00:00";"3.3896000";"132162.165";"";"";"";"";"";"";"COULOIR VERT";"2023-12-21 00:00:00";"EUR";"38990.490";"18.000";"";"";"0.000";"";"";"18.000";"";"";"";"";"";"";"";"";"162"
"D157DDM1W";"";"";"3.3901000";"387278.040";"Devis Drts et Txs";"";"";"";"";"";"";"";"EUR";"114237.940";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";""
"D113DDM1W";"474780";"2023-12-21 00:00:00";"3.3896000";"445087.427";"";"";"";"";"";"";"COULOIR VERT";"2023-12-21 00:00:00";"EUR";"131309.720";"18.000";"";"";"0.000";"";"";"18.000";"";"";"";"";"";"";"";"";"162"
"D71DDM1W";"";"";"3.3991500";"289267.665";"Devis Drts et Txs";"";"";"";"";"";"";"";"EUR";"85100.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";""
"D17DDM1W";"414642";"2023-11-01 00:00:00";"3.1698500";"857859.327";"";"";"";"";"";"";"COULOIR VERT";"2023-11-01 00:00:00";"USD";"270630.890";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"121"
"D14DDM1W";"674251";"2023-10-31 00:00:00";"3.3578000";"119917.656";"";"";"";"";"";"";"COULOIR VERT";"2023-11-01 00:00:00";"EUR";"34035.550";"87.000";"";"";"0.000";"";"";"87.000";"";"";"";"";"";"";"";"";"153"
"D22DDM1W";"";"";"3.1698500";"943716.457";"Devis Drts et Txs";"";"";"";"";"";"";"";"USD";"297716.440";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";""
"D158DDM1W";"414946";"2024-01-15 00:00:00";"3.3901000";"640609.670";"";"";"";"";"";"";"COULOIR VERT";"2024-01-15 00:00:00";"EUR";"188964.830";"18.000";"";"";"0.000";"";"";"18.000";"";"";"";"";"";"";"";"";"115"
"D24DDM1W";"538395";"2023-11-01 00:00:00";"3.1698500";"943716.457";"";"";"";"";"";"";"COULOIR VERT";"2023-11-01 00:00:00";"USD";"297716.440";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"172"
"D25DDM1W";"";"";"3.3669500";"132922.300";"Devis Drts et Txs";"";"";"";"";"";"";"";"EUR";"38832.760";"27651.122";"";"";"0.000";"";"";"27651.122";"";"";"";"";"";"";"";"";""
"D72DDM1W";"539204";"2023-11-30 00:00:00";"3.3991500";"289267.665";"";"";"";"";"";"";"COULOIR VERT";"2023-12-01 00:00:00";"EUR";"85100.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"102"
"D114DDM1W";"675267";"2023-12-22 00:00:00";"3.3870500";"172772.028";"";"";"";"";"";"";"COULOIR VERT";"2023-12-22 00:00:00";"EUR";"50953.540";"203.000";"";"";"0.000";"";"";"203.000";"";"";"";"";"";"";"";"";"113"
"D116DDM1W";"909990";"2023-12-22 00:00:00";"1.0000000";"5000.000";"";"";"";"";"";"";"COULOIR VERT";"2023-12-22 00:00:00";"TND";"5000.000";"219.000";"";"";"0.000";"";"";"219.000";"";"";"";"";"";"";"";"";"113"
"D28DDM1W";"538526";"2023-11-06 00:00:00";"3.3669500";"101008.500";"";"";"";"";"";"";"COULOIR VERT";"2023-11-06 00:00:00";"EUR";"30000.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"150"
"D27DDM1W";"473683";"2023-11-06 00:00:00";"3.3669500";"27652.760";"";"";"";"";"";"";"COULOIR VERT";"2023-11-06 00:00:00";"EUR";"8213.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"150"
"D73DDM1W";"474264";"2023-11-30 00:00:00";"3.3991500";"321872.754";"";"";"";"";"";"";"COULOIR VERT";"2023-12-02 00:00:00";"EUR";"94692.130";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"095"
"D30DDM1W";"473721";"2023-11-07 00:00:00";"3.3771500";"166062.908";"";"";"";"";"";"";"COULOIR VERT";"2023-11-07 00:00:00";"EUR";"49172.500";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"144"
"D67DDM1W";"414771";"2023-11-29 00:00:00";"3.1051000";"1648484.952";"";"";"";"";"";"";"LTD MOUNA BEN RKHISAA";"2023-11-29 00:00:00";"USD";"530895.930";"18.000";"";"";"0.000";"";"";"18.000";"";"";"";"";"";"";"";"";"153"
"D74DDM1W";"173714";"2023-12-01 00:00:00";"3.3938500";"1705.671";"";"";"";"";"";"";"LTD RIM ABDERRAHMEN";"2023-12-05 00:00:00";"EUR";"391.080";"480.808";"";"";"0.000";"";"";"480.808";"";"";"";"";"";"";"";"";"154"
"D33DDM1W";"473844";"2023-11-13 00:00:00";"3.3731000";"383184.160";"";"";"";"";"";"";"COULOIR VERT";"2023-11-13 00:00:00";"EUR";"113600.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"155"
"D34DDM1W";"538761";"2023-11-13 00:00:00";"3.3731000";"29177.315";"";"";"";"";"";"";"COULOIR VERT";"2023-11-13 00:00:00";"EUR";"8650.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"155"
"D35DDM1W";"473846";"2023-11-13 00:00:00";"3.3731000";"91068.640";"";"";"";"";"";"";"COULOIR VERT";"2023-11-14 00:00:00";"EUR";"26998.500";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"113"
"D82DDM1W";"539370";"2023-12-06 00:00:00";"3.3789500";"302213.288";"";"";"";"";"";"";"COULOIR VERT";"2023-12-06 00:00:00";"EUR";"89440.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"160"
"D81DDM1W";"474400";"2023-12-06 00:00:00";"3.3789500";"480858.375";"";"";"";"";"";"";"COULOIR VERT";"2023-12-06 00:00:00";"EUR";"142310.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"160"
"D37DDM1W";"473858";"2023-11-14 00:00:00";"3.3761500";"229951.265";"";"";"";"";"";"";"COULOIR VERT";"2023-11-14 00:00:00";"EUR";"68110.500";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"152"
"D39DDM1W";"473888";"2023-11-15 00:00:00";"3.3764500";"220368.331";"";"";"";"";"";"";"COULOIR VERT";"2023-11-15 00:00:00";"EUR";"65266.280";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"153"
"D77DDM1W";"674962";"2023-12-07 00:00:00";"3.3751000";"54741.138";"";"";"";"";"";"";"COULOIR VERT";"2023-12-07 00:00:00";"EUR";"16200.000";"19.000";"";"";"0.000";"";"";"19.000";"";"";"";"";"";"";"";"";"122"
"D76DDM1W";"674990";"2023-12-08 00:00:00";"3.3726500";"87252.507";"";"";"";"";"";"";"COULOIR VERT";"2023-12-09 00:00:00";"EUR";"25480.000";"58.000";"";"";"0.000";"";"";"58.000";"";"";"";"";"";"";"";"";"105"
"D42DDM1W";"538914";"2023-11-17 00:00:00";"3.3922500";"50364.736";"";"";"";"";"";"";"COULOIR VERT";"2023-11-18 00:00:00";"EUR";"14847.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"094"
"D44DDM1W";"473952";"2023-11-17 00:00:00";"3.3922500";"26510.434";"";"";"";"";"";"";"COULOIR VERT";"2023-11-18 00:00:00";"EUR";"7815.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"094"
"D87DDM1W";"474504";"2023-12-12 00:00:00";"3.3723000";"555794.833";"";"";"";"";"";"";"COULOIR VERT";"2023-12-12 00:00:00";"EUR";"164811.800";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"112"
"D46DDM1W";"473993";"2023-11-20 00:00:00";"3.3888500";"89948.653";"";"";"";"";"";"";"COULOIR VERT";"2023-11-20 00:00:00";"EUR";"26542.530";"18.000";"";"";"0.000";"";"";"18.000";"";"";"";"";"";"";"";"";"163"
"D78DDM1W";"126782";"2023-12-06 00:00:00";"3.3789500";"84213.262";"";"";"";"";"";"";"LTD AMIN AYADI";"2023-12-06 00:00:00";"EUR";"22414.300";"24747.149";"";"";"0.000";"";"";"24747.149";"";"";"";"";"";"";"";"";"163"
"D53DDM1W";"";"";"3.3956500";"55073.891";"Devis Drts et Txs";"";"";"";"";"";"";"";"EUR";"16200.000";"19.000";"";"";"0.000";"";"";"19.000";"";"";"";"";"";"";"";"";""
"D52DDM1W";"474073";"2023-11-23 00:00:00";"3.3956500";"398139.963";"";"";"";"";"";"";"COULOIR VERT";"2023-11-23 00:00:00";"EUR";"117250.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"145"
"D57DDM1W";"414762";"2023-11-27 00:00:00";"3.3954500";"299136.429";"";"";"";"";"";"";"COULOIR VERT";"2023-11-27 00:00:00";"EUR";"88099.200";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"113"
"D90DDM1W";"675113";"2023-12-14 00:00:00";"3.3752500";"321885.457";"";"";"";"";"";"";"COULOIR VERT";"2023-12-14 00:00:00";"EUR";"95263.520";"222.000";"";"";"0.000";"";"";"222.000";"";"";"";"";"";"";"";"";"160"
"D91DDM1W";"414837";"2023-12-15 00:00:00";"3.3787500";"155141.388";"";"";"";"";"";"";"COULOIR VERT";"2023-12-15 00:00:00";"EUR";"45916.800";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"122"
"D89DDM1W";"909925";"2023-12-14 00:00:00";"1.0000000";"5000.000";"";"";"";"";"";"";"COULOIR VERT";"2023-12-16 00:00:00";"TND";"5000.000";"219.000";"";"";"0.000";"";"";"219.000";"";"";"";"";"";"";"";"";"094"
"D95DDM1W";"474667";"2023-12-18 00:00:00";"3.3858500";"154902.638";"";"";"";"";"";"";"COULOIR VERT";"2023-12-18 00:00:00";"EUR";"45750.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"150"
"D97DDM1W";"";"";"3.3858500";"124006.756";"Devis Drts et Txs";"";"";"";"";"";"";"";"EUR";"36625.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";""
"D99DDM1W";"";"";"3.3858500";"38598.690";"Devis Drts et Txs";"";"";"";"";"";"";"";"EUR";"11400.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";""
"D100DDM1W";"539695";"2023-12-18 00:00:00";"3.3858500";"38598.690";"";"";"";"";"";"";"COULOIR VERT";"2023-12-19 00:00:00";"EUR";"11400.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"104"
"D98DDM1W";"474679";"2023-12-18 00:00:00";"3.3858500";"124006.756";"";"";"";"";"";"";"COULOIR VERT";"2023-12-19 00:00:00";"EUR";"36625.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"105"
"D106DDM1W";"";"";"3.3896000";"166198.867";"Devis Drts et Txs";"";"";"";"";"";"";"";"EUR";"49032.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";""
"D109DDM1W";"";"";"3.3896000";"316615.757";"Devis Drts et Txs";"";"";"";"";"";"";"";"EUR";"93408.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";""
"D110DDM1W";"539737";"2023-12-21 00:00:00";"3.3896000";"316615.757";"";"";"";"";"";"";"COULOIR VERT";"2023-12-21 00:00:00";"EUR";"93408.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"144"
"D108DDM1W";"474755";"2023-12-21 00:00:00";"3.3896000";"166198.867";"";"";"";"";"";"";"COULOIR VERT";"2023-12-21 00:00:00";"EUR";"49032.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"144"
"D300DDM1W";"542051";"2024-03-28 00:00:00";"3.3796500";"225603.804";"";"";"";"";"";"";"COULOIR VERT";"2024-03-28 00:00:00";"EUR";"66753.600";"18.000";"";"";"0.000";"";"";"18.000";"";"";"";"";"";"";"";"";"110"
"D154DDM1W";"475208";"2024-01-12 00:00:00";"3.3913500";"32191.881";"";"";"";"";"";"";"COULOIR VERT";"2024-01-13 00:00:00";"EUR";"9492.350";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"100"
"D153DDM1W";"540256";"2024-01-12 00:00:00";"3.3913500";"69792.830";"";"";"";"";"";"";"COULOIR VERT";"2024-01-13 00:00:00";"EUR";"20579.660";"18.000";"";"";"0.000";"";"";"18.000";"";"";"";"";"";"";"";"";"100"
"D121DDM1W";"675303";"2023-12-23 00:00:00";"3.3920500";"10318.246";"";"";"";"";"";"";"COULOIR VERT";"2023-12-25 00:00:00";"EUR";"3036.880";"19.000";"";"";"0.000";"";"";"19.000";"";"";"";"";"";"";"";"";"094"
"D119DDM1W";"675296";"2023-12-23 00:00:00";"3.3920500";"17011.960";"";"";"";"";"";"";"COULOIR VERT";"2023-12-25 00:00:00";"EUR";"4679.360";"19.000";"";"";"0.000";"";"";"19.000";"";"";"";"";"";"";"";"";"094"
"D124DDM1W";"474814";"2023-12-25 00:00:00";"3.3920500";"170868.176";"";"";"";"";"";"";"COULOIR VERT";"2023-12-25 00:00:00";"EUR";"50373.130";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"162"
"D169DDM1W";"675834";"2024-01-25 00:00:00";"3.3834500";"257388.614";"";"";"";"";"";"";"COULOIR VERT";"2024-01-25 00:00:00";"EUR";"75990.000";"29.000";"";"";"0.000";"";"";"29.000";"";"";"";"";"";"";"";"";"101"
"D168DDM1W";"910194";"2024-01-22 00:00:00";"1.0000000";"10000.000";"";"";"";"";"";"";"COULOIR VERT";"2024-01-25 00:00:00";"TND";"10000.000";"429.000";"";"";"0.000";"";"";"429.000";"";"";"";"";"";"";"";"";"101"
"D175DDM1W";"";"";"3.3710000";"145576.332";"Devis Drts et Txs";"";"";"";"";"";"";"";"EUR";"43184.910";"18.000";"";"";"0.000";"";"";"18.000";"";"";"";"";"";"";"";"";""
"D133DDM1W";"539877";"2023-12-27 00:00:00";"3.3945500";"342340.368";"";"";"";"";"";"";"COULOIR VERT";"2023-12-27 00:00:00";"EUR";"100850.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"151"
"D132DDM1W";"474898";"2023-12-27 00:00:00";"3.3945500";"103325.010";"";"";"";"";"";"";"COULOIR VERT";"2023-12-27 00:00:00";"EUR";"30438.500";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"151"
"D131DDM1W";"474899";"2023-12-27 00:00:00";"3.3945500";"261719.805";"";"";"";"";"";"";"COULOIR VERT";"2023-12-27 00:00:00";"EUR";"77100.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"151"
"D135DDM1W";"";"";"3.3945500";"319638.296";"Devis Drts et Txs";"";"";"";"";"";"";"";"EUR";"94162.200";"18.000";"";"";"0.000";"";"";"18.000";"";"";"";"";"";"";"";"";""
"D176DDM1W";"475612";"2024-02-02 00:00:00";"3.3710000";"145576.332";"";"";"";"";"";"";"COULOIR VERT";"2024-02-02 00:00:00";"EUR";"43184.910";"18.000";"";"";"0.000";"";"";"18.000";"";"";"";"";"";"";"";"";"111"
"D88DDM1W";"137175";"2023-12-13 00:00:00";"3.3735500";"2483.135";"";"";"";"";"";"";"CTD BRAHIM AZZOUZI";"2023-12-13 00:00:00";"EUR";"736.060";"1408.022";"";"";"0.000";"";"";"1408.022";"";"";"";"";"";"";"";"";"153"
"D178DDM1W";"";"";"3.3710000";"13678.735";"Devis Drts et Txs";"";"";"";"";"";"";"";"EUR";"3902.000";"4539.774";"";"";"0.000";"";"";"4539.774";"";"";"";"";"";"";"";"";""
"D181DDM1W";"";"";"3.3804500";"210940.080";"Devis Drts et Txs";"";"";"";"";"";"";"";"EUR";"62400.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";""
"D139DDM1W";"539899";"2023-12-28 00:00:00";"3.0755000";"727211.571";"";"";"";"";"";"";"COULOIR VERT";"2023-12-28 00:00:00";"USD";"236453.120";"36.000";"";"";"0.000";"";"";"36.000";"";"";"";"";"";"";"";"";"123"
"D138DDM1W";"474920";"2023-12-28 00:00:00";"3.0755000";"662618.443";"";"";"";"";"";"";"COULOIR VERT";"2023-12-28 00:00:00";"USD";"215450.640";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"123"
"D136DDM1W";"474917";"2023-12-27 00:00:00";"3.3945500";"319638.296";"";"";"";"";"";"";"COULOIR VERT";"2023-12-28 00:00:00";"EUR";"94162.200";"18.000";"";"";"0.000";"";"";"18.000";"";"";"";"";"";"";"";"";"123"
"D141DDM1W";"";"";"3.4019000";"1634.205";"Devis Drts et Txs";"";"";"";"";"";"";"";"EUR";"480.380";"989.450";"";"";"0.000";"";"";"989.450";"";"";"";"";"";"";"";"";""
"D122DDM1W";"127046";"2023-12-23 00:00:00";"3.3920500";"91304.643";"";"";"";"";"";"";"LMD ISSAM FARSI";"2023-12-26 00:00:00";"EUR";"25570.450";"18580.131";"";"";"0.000";"";"";"18580.131";"";"";"";"";"";"";"";"";"111"
"D123DDM1W";"316171";"2023-12-23 00:00:00";"3.3920500";"7640.135";"";"";"";"";"";"";"LMD ISSAM FARSI";"2023-12-26 00:00:00";"EUR";"2139.750";"1601.610";"";"";"0.000";"";"";"1601.610";"";"";"";"";"";"";"";"";"111"
"D182DDM1W";"540732";"2024-02-05 00:00:00";"3.3804500";"210940.080";"";"";"";"";"";"";"COULOIR VERT";"2024-02-05 00:00:00";"EUR";"62400.000";"9.000";"";"";"0.000";"";"";"9.000";"";"";"";"";"";"";"";"";"152"
"D146DDM1W";"";"";"3.3934500";"183250.057";"Devis Drts et Txs";"";"";"";"";"";"";"";"EUR";"53942.310";"98.000";"";"";"0.000";"";"";"98.000";"";"";"";"";"";"";"";"";""
"D166DDM1W";"675743";"2024-01-20 00:00:00";"3.1112000";"281565.576";"";"";"";"";"";"";"COULOIR VERT";"2024-01-20 00:00:00";"USD";"90403.000";"29.000";"";"";"0.000";"";"";"29.000";"";"";"";"";"";"";"";"";"115"
"D145DDM1W";"475001";"2024-01-03 00:00:00";"3.3934500";"166718.875";"";"";"";"";"";"";"COULOIR VERT";"2024-01-03 00:00:00";"EUR";"49129.610";"18.000";"";"";"0.000";"";"";"18.000";"";"";"";"";"";"";"";"";"150"
"D146DDM2W";"";"";"3.3880500";"182960.279";"Devis Drts et Txs";"";"";"";"";"";"";"";"EUR";"53942.310";"78.000";"";"";"0.000";"";"";"78.000";"";"";"";"";"";"";"";"";""
"D148DDM1W";"";"";"3.3862000";"13738.035";"Devis Drts et Txs";"";"";"";"";"";"";"";"EUR";"3902.000";"4614.426";"";"";"0.000";"";"";"4614.426";"";"";"";"";"";"";"";"";""
