"code_mode_pay";"libelle_mode_pay"
0;"PAR ANTICIPATION"
1;"SANS RAPATRIEMENT"
2;"SANS PAIEMENT"
3;"PAIEMENT COMPENSATION"
4;"SANS DELIV.DEVISES"
11;"REGL.INSC.EN COMPTE"
21;"P.DIRECT VIR.BANCAIRE"
22;"P.DIRECT CHEQU.BANCAIRE"
23;"P.DIRECT TRAITE AVALISE"
24;"P.DIRECT TRAIT.NON AVAL"
25;"DOC. CONTRE PAIEMENT"
26;"DOC. CONTRE ACCEPTATION"
31;"C.DOC.IRREV. CONFIRME"
32;"C.DOC.IRREV CONF.ACCEPT"
33;"C.DOC.IRREV. A VUE"
34;"C.DOC.IRREV.ACCEPTATION"
35;"CONTRE REMBOURSEMENT"
41;"PAIEMENT C.FOURNISSEURS"
50;"PAIEMENT C.ACHETEURS"
51;"P.CREDIT C O F A S"
52;"P. CREDIT R.F.A"
53;"P. CREDIT AUTRICHE"
54;"P. CREDIT BULGARIE"
55;"P.CREDIT DANEMARK"
56;"P. CREDIT ESPAGNE"
57;"P.CREDIT G.BRETAGNE"
58;"P. CREDIT HONGRIE"
59;"P. CREDIT ITALIE"
60;"P. CREDIT HOLLANDE"
61;"P. CREDIT POLOGNE"
62;"P. CREDIT ROUMANIE"
63;"P. CREDIT SUEDE"
64;"P. CREDIT SUISSE"
65;"P.CREDIT TCHECOSLOVAQUE"
66;"P. CREDIT BELGIQUE"
67;"P. CREDIT U.R.S.S"
68;"CREDIT USA/MRE AGRICUL."
69;"CREDIT USA/MRE DEFENSE"
70;"P. CREDIT CANADA"
71;"P.CREDIT KOWEIT"
72;"P.CREDIT ARABIE SAOUDIT"
73;"P. CREDIT ABOU DHABI"
74;"P. CREDIT IRAK"
75;"P. CREDIT JAPON"
76;"P. CREDIT CHINE"
77;"P. CREDIT AUTRES PAYS"
78;"P.CREDIT FRANCE"
79;"CREDIT BIRD"
90;"P.CREDITS MULTILATERAUX"
99;"DIVERS"
