"num_dossier";"code_type_doc"
2;"TCE"
4;"TCE"
5;"TCE"
6;"TCE"
7;"TCE"
8;"TCE"
9;"TCE"
11;"TCE"
12;"TCE"
13;"TCE"
14;"TCE"
15;"TCE"
16;"TCE"
17;"TCE"
18;"TCE"
19;"TCE"
20;"TCE"
21;"TCE"
22;"TCE"
23;"TCE"
25;"TCE"
26;"TCE"
27;"TCE"
28;"TCE"
29;"TCE"
30;"TCE"
31;"TCE"
32;"TCE"
33;"TCE"
34;"TCE"
36;"TCE"
38;"TCE"
39;"TCE"
40;"TCE"
41;"TCE"
42;"TCE"
44;"TCE"
45;"TCE"
46;"TCE"
47;"TCE"
48;"TCE"
49;"TCE"
50;"TCE"
51;"TCE"
52;"TCE"
53;"TCE"
54;"TCE"
55;"TCE"
56;"TCE"
57;"TCE"
58;"TCE"
59;"TCE"
60;"TCE"
64;"TCE"
65;"TCE"
66;"TCE"
67;"TCE"
68;"TCE"
69;"TCE"
70;"TCE"
72;"TCE"
74;"TCE"
75;"TCE"
76;"TCE"
78;"TCE"
79;"TCE"
80;"TCE"
81;"TCE"
82;"TCE"
83;"TCE"
84;"TCE"
85;"TCE"
86;"TCE"
87;"TCE"
88;"TCE"
89;"TCE"
90;"TCE"
91;"TCE"
92;"TCE"
93;"TCE"
94;"TCE"
95;"TCE"
96;"TCE"
97;"TCE"
99;"TCE"
101;"TCE"
102;"TCE"
103;"TCE"
104;"TCE"
105;"TCE"
109;"TCE"
111;"TCE"
112;"TCE"
113;"TCE"
116;"TCE"
117;"TCE"
118;"TCE"
119;"TCE"
120;"TCE"
121;"TCE"
122;"TCE"
123;"TCE"
125;"TCE"
126;"TCE"
127;"TCE"
128;"TCE"
129;"TCE"
133;"TCE"
134;"TCE"
135;"TCE"
138;"TCE"
139;"TCE"
140;"TCE"
141;"TCE"
142;"TCE"
144;"TCE"
145;"TCE"
146;"TCE"
147;"TCE"
148;"TCE"
149;"TCE"
150;"TCE"
151;"TCE"
152;"TCE"
153;"TCE"
154;"TCE"
155;"TCE"
156;"TCE"
157;"TCE"
159;"TCE"
160;"TCE"
161;"DAE"
162;"DAE"
163;"DAE"
164;"DAE"
165;"DAE"
166;"TCE"
167;"TCE"
168;"TCE"
169;"TCE"
170;"DAE"
171;"DAE"
172;"DAE"
173;"DAE"
174;"DAE"
175;"TCE"
177;"TCE"
180;"TCE"
181;"TCE"
182;"TCE"
183;"DAE"
184;"TCE"
185;"TCE"
187;"TCE"
188;"DAE"
189;"DAE"
190;"DAE"
191;"TCE"
192;"TCE"
193;"TCE"
194;"DAE"
195;"DAE"
196;"DAE"
197;"DAE"
198;"DAE"
199;"DAE"
200;"DAE"
201;"TCE"
202;"DAE"
203;"TCE"
204;"DAE"
205;"TCE"
206;"DAE"
207;"TCE"
208;"TCE"
209;"DAE"
210;"DAE"
211;"DAE"
212;"DAE"
213;"TCE"
214;"TCE"
215;"TCE"
217;"DAE"
218;"DAE"
219;"DAE"
220;"DAE"
221;"DAE"
222;"DAE"
223;"DAE"
224;"DAE"
225;"DAE"
226;"DAE"
227;"DAE"
228;"TCE"
229;"DAE"
230;"DAE"
231;"DAE"
232;"DAE"
233;"DAE"
234;"DAE"
235;"TCE"
236;"TCE"
237;"TCE"
238;"TCE"
239;"TCE"
240;"DAE"
241;"DAE"
242;"DAE"
243;"DAE"
244;"DAE"
245;"DAE"
246;"DAE"
247;"DAE"
248;"DAE"
249;"DAE"
250;"DAE"
251;"DAE"
252;"DAE"
253;"DAE"
254;"DAE"
255;"DAE"
256;"DAE"
257;"DAE"
258;"TCE"
259;"TCE"
260;"TCE"
261;"TCE"
262;"TCE"
263;"TCE"
264;"DAE"
265;"DAE"
266;"DAE"
267;"DAE"
268;"DAE"
269;"TCE"
270;"TCE"
272;"TCE"
274;"TCE"
276;"TCE"
277;"TCE"
280;"DAE"
281;"DAE"
282;"DAE"
283;"DAE"
284;"DAE"
285;"DAE"
286;"DAE"
287;"DAE"
288;"DAE"
289;"TCE"
290;"DAE"
291;"DAE"
292;"DAE"
293;"TCE"
294;"TCE"
298;"TCE"
301;"DAE"
302;"DAE"
303;"DAE"
304;"TCE"
305;"TCE"
306;"TCE"
307;"TCE"
308;"TCE"
309;"TCE"
310;"TCE"
311;"TCE"
312;"TCE"
313;"TCE"
315;"TCE"
316;"TCE"
318;"TCE"
322;"TCE"
324;"TCE"
325;"TCE"
327;"TCE"
328;"TCE"
330;"DAE"
331;"DAE"
332;"TCE"
333;"TCE"
334;"TCE"
336;"TCE"
337;"TCE"
338;"TCE"
339;"TCE"
340;"TCE"
342;"TCE"
343;"TCE"
344;"TCE"
345;"TCE"
346;"TCE"
353;"TCE"
354;"TCE"
355;"TCE"
356;"TCE"
358;"TCE"
359;"TCE"
360;"TCE"
361;"TCE"
362;"TCE"
366;"TCE"
367;"TCE"
368;"DAE"
369;"TCE"
370;"TCE"
371;"DAE"
372;"DAE"
373;"DAE"
374;"DAE"
375;"DAE"
376;"DAE"
377;"DAE"
378;"DAE"
379;"DAE"
380;"DAE"
381;"TCE"
386;"DAE"
387;"DAE"
388;"DAE"
389;"DAE"
390;"DAE"
391;"DAE"
392;"DAE"
393;"DAE"
394;"DAE"
395;"TCE"
396;"TCE"
397;"TCE"
398;"TCE"
399;"TCE"
400;"TCE"
408;"DAE"
409;"DAE"
410;"DAE"
411;"DAE"
412;"TCE"
413;"TCE"
414;"TCE"
416;"TCE"
420;"TCE"
421;"TCE"
423;"TCE"
426;"TCE"
427;"TCE"
429;"TCE"
430;"DAE"
431;"TCE"
432;"DAE"
433;"DAE"
434;"DAE"
435;"DAE"
436;"DAE"
437;"DAE"
438;"DAE"
439;"DAE"
440;"DAE"
441;"DAE"
442;"DAE"
443;"DAE"
444;"DAE"
445;"DAE"
446;"DAE"
447;"DAE"
448;"DAE"
449;"DAE"
450;"DAE"
451;"DAE"
452;"DAE"
453;"DAE"
454;"DAE"
455;"DAE"
456;"DAE"
457;"DAE"
458;"DAE"
459;"DAE"
460;"DAE"
461;"DAE"
462;"DAE"
463;"DAE"
464;"DAE"
465;"DAE"
466;"DAE"
467;"DAE"
468;"DAE"
469;"TCE"
470;"DAE"
471;"TCE"
472;"TCE"
473;"TCE"
474;"TCE"
475;"DAE"
476;"DAE"
477;"DAE"
478;"DAE"
479;"DAE"
480;"DAE"
481;"DAE"
482;"DAE"
483;"DAE"
484;"DAE"
485;"DAE"
486;"DAE"
487;"DAE"
488;"DAE"
489;"DAE"
490;"DAE"
491;"DAE"
492;"DAE"
493;"TCE"
497;"DAE"
498;"DAE"
499;"DAE"
500;"DAE"
501;"DAE"
502;"DAE"
503;"DAE"
504;"DAE"
505;"TCE"
507;"DAE"
508;"DAE"
509;"DAE"
510;"DAE"
511;"DAE"
512;"DAE"
513;"DAE"
514;"DAE"
515;"DAE"
516;"DAE"
517;"DAE"
518;"DAE"
519;"TCE"
524;"TCE"
529;"DAE"
530;"DAE"
531;"DAE"
532;"DAE"
533;"DAE"
534;"DAE"
535;"DAE"
536;"DAE"
537;"DAE"
538;"DAE"
539;"TCE"
542;"DAE"
543;"DAE"
545;"DAE"
547;"TCE"
549;"TCE"
551;"TCE"
552;"TCE"
553;"TCE"
560;"TCE"
561;"TCE"
562;"TCE"
563;"TCE"
567;"TCE"
570;"DAE"
571;"DAE"
572;"DAE"
573;"DAE"
574;"DAE"
575;"DAE"
576;"DAE"
577;"DAE"
578;"DAE"
579;"DAE"
580;"DAE"
581;"DAE"
582;"DAE"
583;"DAE"
584;"DAE"
585;"TCE"
587;"TCE"
592;"TCE"
595;"DDM"
595;"DISTCE"
598;"TCE"
599;"TCE"
602;"TCE"
603;"DAE"
604;"DAE"
605;"DAE"
606;"DAE"
607;"DAE"
608;"DAE"
609;"DAE"
610;"DAE"
611;"DAE"
612;"DAE"
613;"DAE"
614;"DAE"
615;"DAE"
616;"DAE"
617;"DAE"
618;"DAE"
619;"DAE"
620;"DAE"
621;"DAE"
622;"DAE"
623;"DAE"
624;"DAE"
625;"DAE"
626;"DAE"
627;"DAE"
628;"DAE"
629;"DAE"
630;"DAE"
631;"DAE"
632;"TCE"
634;"TCE"
635;"TCE"
636;"TCE"
637;"TCE"
638;"TCE"
639;"TCE"
640;"TCE"
641;"TCE"
642;"TCE"
644;"TCE"
650;"TCE"
655;"TCE"
656;"TCE"
657;"TCE"
658;"TCE"
659;"TCE"
660;"TCE"
661;"TCE"
663;"TCE"
664;"TCE"
