"code_type_dec";"type_dec"
"01";"PERCEPTION DROITS TAXES"
"02";"AMENDE DECLARATION TARD"
"03";"AMENDE DECL.COMPL.TARD."
"05";"AMENDE ENLEVEMENT TAED."
"06";"CONS.AMEND.IMP.AV.TITRE"
"07";"CONS.AMENDE FAUSSE DECL"
"09";"AMENDE IMP.AV.TITRE(RD)"
"1";"PERCEPTION DROITS TAXES"
"10";"AMENDE FAUSSE DECL.(RD)"
"11";"TRT MARITIME ENTREE TE"
"12";"TRT MARITIME SORTIE TE"
"13";""
"14";""
"15";"CONS.EN GARANTIE ENG.D"
"16";"CONS.EN GARANTIE ENG.E"
"17";"TRT MARITIME ENTREE TI"
"18";"TRT MARITIME SORTIE TI"
"19";"RECTIF.MANIFESTE TRT M"
"2";"AMENDE DECLARATION TARD"
"20";"SUPPLEMENTS DROITS-TAXES"
"21";"TRT AERIEN ENTREE TE"
"22";"TRT AERIEN SORTIE TE"
"23";"TRT AERIEN TRANSIT ENTR"
"24";"TRT AERIEN TRANSIT SORT"
"27";"TRT AERIEN ENTREE TI"
"28";"TRT AERIEN SORTIE TI"
"29";"RECTIF.MANIFESTE TRT A"
"3";"AMENDE DECL.COMPL.TARD."
"31";"TRT FERROV.ENTREE TE"
"32";"TRT FERROV.SORTIE TE"
"37";"TRT FERROV.ENTREE TI"
"38";"TRT FERROV.SORTIE TI"
"39";"RECTIF.MANIFESTE TRT F"
"5";"AMENDE ENLEVEMENT TAED."
"6";"CONS.AMEND.IMP.AV.TITRE"
"7";"CONS.AMENDE FAUSSE DECL"
"87";"DECLAR VEHICULES USAGES"
"9";"AMENDE IMP.AV.TITRE(RD)"
"C";"MISE A LA CONSOMMATION DIRECTE"
"CF";"M.CONSOMMATION AVEC  R.F.P."
"CN";"REVERSEMENT MARCHE INT PRD NAT"
"CP";"IMPORT MARCHAND.REMPLACEMENT"
"CR";"REIM.PRD NATI EXPORTE SIMPLE S"
"CT";"REIM.PRD EXPOR.TEMP. EN ETAT"
"DE";"DAE EXPORT"
"DI";"DAE IMPORT"
"E";"EXP.SIMP.SORTIE PRD.NATIONALIS"
"EA";"REEXP.SUITE R.S. PRD ETR.PER A"
"EE";"REEXP.SUITE R.S. PRD ETR. ETAT"
"EF";"EXP.SIMP.SORT.PRD NATION.R.F.P"
"EP";"EXP.TEMP.PRD NATI. PERF PASSIF"
"ER";"EXP.SIMP.SORTIE.AVEC.REMB"
"ET";"EXP.TEMP.PRD NATIO. EN ETAT"
"SA";"IMP.R.S.PRD ETR.PERFECT.ACTIF"
"SC";"CONST.R.S.PRD.ETR.CONSO.REM DT"
"SE";"IMP.DIRECT R.S.PRD ETR. REST E"
"SN";"CONSTITUTION R.S. PRD NATIONAL"
"SS";"CESSION ENTREPOT/TRANSFERT ENT"
"TD";"TRANSPORT DIRECT.EMPRUNT TERRI"
"TE";"TRANSIT INTERIEUR A L'ENTREE"
"TI";"TRANSFERT INTERNE/CABOTAGE NAT"
"TP";"TRANSIT ENTREE PORTS VOIE FERR"
"TS";"TRANSIT INTERIEUR A LA SORTIE"
"UC";"UNITES CHARGES"
"VA";"CESSION MARCH.ETR.R.S. PERF AC"
"VE";"CESSION MARCH.R.S. STOCK./TRAV"
"VN";"CESSION PRD NATIONA.SOUS R.S."
"VP";"VENTE ETR.PRD NATI.EXP.TEMP.PP"
"VT";"VENTE ETR.PRD NATI.EXP.TEMP.ET"
